DATE    |OPEN  |LOW   |HI    |CLOSE |VOLUME |EMA13   |EMA26
20101006|269.36|264.71|269.7|266.91|3826676|260.008|305.6068
20101005|263.93|263.01|269.73|268.85|3826676|258.8577|306.1224
20101004|262.21|259.17|263.86|260.91|3826676|257.1923|306.4315
20101001|264.74|261.24|265.04|262.55|3826676|256.5727|306.63
20100930|264.32|259.2|265.67|262.63|3826676|255.5765|307.1962
20100929|263.66|262.09|266.2|263.58|3826676|254.4009|307.784
20100928|266.47|258.97|266.53|263.32|3826676|252.871|308.3295
20100927|264.16|264.16|268.16|264.94|3826676|251.1295|308.6285
20100924|260.61|258.87|263.65|263.38|3826676|248.8278|308.5906
20100923|257.05|255.39|259.58|256.48|3826676|246.4024|308.3869
20100922|256.17|255.58|258.63|257.74|3826676|244.7228|308.0168
20100921|254.59|254.2|259.73|256.47|3826676|242.5533|307.9144
20100920|246.0|245.78|254.95|253.89|3826676|240.2339|308.4677
20100917|241.63|240.35|245.35|244.83|3826676|237.9578|309.4403
20100916|239.74|239.47|240.98|240.29|3826676|236.8125|310.4817
20100915|239.74|239.01|240.7|240.08|3826676|236.2329|311.9578
20100914|240.76|239.8|242.13|239.97|3826676|235.5917|313.7815
20100913|240.21|239.53|241.93|240.89|3826676|234.862|315.1922
20100910|239.27|237.3|239.66|237.83|3826676|233.8573|316.3637
20100909|238.68|235.05|239.96|237.85|3826676|233.1952|317.6022
20100908|232.36|232.02|236.01|235.05|3826676|232.4194|318.6688
20100907|232.02|231.28|233.56|231.97|3826676|231.9809|319.3868
20100903|235.02|233.49|235.7|234.91|3826676|231.9828|319.858
20100902|231.19|229.92|231.98|231.36|3826676|231.4949|320.1693
20100901|227.26|226.02|232.24|229.94|3826676|231.5174|320.0099
20100831|224.83|223.78|227.21|224.78|3826676|231.7803|319.7007
20100830|229.34|225.98|229.65|226.12|3826676|232.947|319.2199
20100827|226.05|223.6|229.77|229.19|3826676|234.0848|318.4599
20100826|227.8|224.99|228.4|225.26|3826676|234.9006|317.324
20100825|224.78|224.78|228.68|227.08|3826676|236.5074|315.916
20100824|228.62|225.23|228.96|225.47|3826676|238.0786|314.8772
20100823|230.52|228.64|233.89|231.8|3826676|240.1801|313.7476
20100820|233.75|230.28|235.56|230.78|3826676|241.5768|312.3568
20100819|240.26|233.39|241.01|233.75|3826676|243.3762|311.2186
20100818|244.97|240.53|245.19|240.83|3826676|244.9806|310.3269
20100817|244.02|242.77|247.1|245.01|3826676|245.6724|309.4687
20100816|241.6|240.01|244.69|242.55|3826676|245.7828|308.6901
20100813|244.26|242.76|245.35|242.93|3826676|246.3216|307.5897
20100812|241.73|241.01|247.13|245.76|3826676|246.8868|305.3124
20100811|248.62|245.5|248.75|245.62|3826676|247.0746|303.0617
20100810|250.92|249.04|252.75|251.6|3826676|247.3171|302.3168
20100809|250.87|250.43|252.5|252.42|3826676|246.6032|302.108
20100806|252.45|247.78|252.62|249.86|3826676|245.6338|301.7981
20100805|252.69|251.53|254.05|253.8|3826676|244.9294|301.8539
20100804|245.84|245.28|253.25|252.91|3826676|243.451|302.4001
20100803|245.0|243.14|245.98|244.67|3826676|241.8745|303.1156
20100802|244.25|243.23|246.39|244.96|3826676|241.4085|303.7373
20100730|239.59|239.33|243.44|242.18|3826676|240.8166|303.9658
20100729|242.73|239.43|244.2|242.25|3826676|240.5894|303.6374
20100728|247.22|241.09|247.38|241.93|3826676|240.3126|303.0263
20100727|245.04|244.84|248.5|246.07|3826676|240.0431|302.7399
20100726|244.3|242.2|245.13|244.24|3826676|239.0386|302.8598
20100723|240.14|239.76|245.05|244.78|3826676|238.1717|302.9043
20100722|241.37|241.0|244.25|242.16|3826676|237.0703|302.6838
20100721|241.76|237.48|242.61|238.51|3826676|236.222|302.8259
20100720|230.28|230.07|241.25|240.55|3826676|235.8407|303.175
20100719|230.27|228.53|234.59|232.86|3826676|235.0558|302.9163
20100716|234.32|229.53|235.04|229.57|3826676|235.4217|302.5338
20100715|245.62|241.1|247.1|246.76|3826676|236.397|302.0648
20100714|244.7|242.99|246.67|245.42|3826676|234.6699|301.6603
20100713|240.88|239.9|246.25|244.36|3826676|232.8782|301.601
20100712|235.95|235.3|239.48|237.68|3826676|230.9646|301.3005
20100709|235.74|231.16|236.39|233.51|3826676|229.8453|299.9313
20100708|226.55|224.61|228.44|228.05|3826676|229.2345|297.8005
20100707|218.94|217.47|225.42|224.87|3826676|229.432|296.474
20100706|221.78|216.6|223.61|217.82|3826676|230.1923|295.3559
20100702|220.59|217.78|220.92|218.06|3826676|232.2543|293.9919
20100701|222.42|216.6|223.98|219.53|3826676|234.6201|292.6291
20100630|227.25|222.14|228.69|222.25|3826676|237.1351|290.8975
20100629|231.49|225.33|232.04|226.9|3826676|239.6159|289.613
20100628|236.06|234.27|238.54|235.8|3826676|241.7352|288.5264
20100625|238.29|235.04|238.58|236.1|3826676|242.7245|287.3821
20100624|239.59|236.39|241.13|237.31|3826676|243.8285|286.6052
20100623|243.2|238.84|243.2|240.78|3826676|244.9149|286.4122
20100622|244.71|242.62|248.05|242.88|3826676|245.6041|286.3091
20100621|249.7|242.2|250.23|244.04|3826676|246.0581|286.1869
20100618|251.0|248.82|251.48|249.76|3826676|246.3945|285.9921
20100617|251.47|248.1|252.68|249.79|3826676|245.8336|285.4196
20100616|247.84|247.81|251.75|250.38|3826676|245.1741|284.7642
20100615|241.3|240.85|249.95|248.75|3826676|244.3065|284.3814
20100614|246.99|241.35|247.0|241.35|3826676|243.5659|284.5858
