DATE    ,OPEN  ,LOW   ,HI    
20130830,427.45,422.36,428.59
20130829,424.11,423.87,429.76
20130828,424.7,423.46,427.28
20130827,429.38,423.53,431.43
20130826,434.56,432.59,437.01
20130823,438.48,434.44,438.56
20130822,435.91,434.69,436.94
20130821,434.89,432.82,438.02
20130820,433.74,431.34,435.62
20130819,428.43,428.3,435.56
20130816,430.21,427.84,430.79
20130815,431.79,428.57,432.03
20130814,438.75,433.15,439.67
20130813,442.97,437.66,443.81
20130812,443.01,440.38,443.06
20130809,444.83,444.56,447.31
20130808,447.3,442.2,447.47
20130807,447.07,444.1,448.78
20130806,451.89,447.42,454.4
20130805,452.24,449.15,452.31
20130802,451.27,449.96,453.05
20130801,447.05,447.05,451.82
20130731,446.05,442.65,447.81
20130730,442.29,439.99,447.36
20130729,442.01,440,446.96
20130726,443.05,440.56,444.55
20130725,446.49,442.6,447.98
20130724,453.18,449.9,454.69
20130723,454.89,449.34,456.04
20130722,450.55,448.05,455.88
20130719,442.86,437.37,451.02
20130718,459.04,451.14,459.54
20130717,460.04,457.69,462.97
20130716,463.1,456.49,463.52
20130715,461.69,457.72,463.54
20130712,459.54,457.16,461.04
20130711,456.04,453.81,459.94
20130710,451.27,449.74,455.11
20130709,455.04,448.54,456.02
20130708,449.16,448.09,452.68
20130705,444.56,443.23,447.26
20130703,439.51,438.81,444.14
20130702,444.65,438.2,445.05
20130701,442.78,442.06,445.59
20130628,437.01,436.66,440.48
20130627,438.96,437.89,441.9
20130626,436.44,434.85,438.56
20130625,438.19,431.82,439.4
20130624,435.5,431.19,437.72
20130621,443.73,436.1,444.5
20130620,446.55,441.21,450.05
20130619,450.23,448.3,454.96
20130618,443.88,443.73,450.05
20130617,439.18,438.7,444.27
20130614,439.61,436.63,441.91
20130613,434.06,432.32,439.39
20130612,442.29,434.39,442.56
20130611,441.54,439.32,443.06
20130610,440.61,439.6,445.05
20130607,434.77,432.23,439.56
20130606,431.72,423.19,432.73
20130605,430.82,428.14,434.29
20130604,433.49,426.61,434.86
20130603,431.34,427.08,436.55
20130531,433.63,433.33,438.06
20130530,434.53,432.77,439.01
20130529,437.42,431.71,438.56
20130528,441.31,439.76,445.62
20130524,437.19,435.07,438.97
20130523,438.06,436.56,444.54
20130522,450.83,443,454.2
20130521,453.56,448.36,455.37
20130520,452.05,452.05,459.84
20130517,454.56,449.81,456.29
20130516,459.04,450.55,459.53
20130515,447.3,446.56,457.73
20130514,438.31,438.13,443.9
20130513,439.01,436.25,440.79
20130510,437.22,435.64,439.83
20130509,434.98,433.68,439.39
20130508,428.07,426.03,436.5
20130507,431.07,424.91,431.5
20130506,423.71,423.71,430.49
20130503,418.06,417.58,422.98
20130502,409.64,409.12,416.86
20130501,411.22,407.77,411.95
20130430,409.09,408.43,413.41
20130429,401.22,401.1,410.94
20130426,403.4,397.89,403.47
20130425,407.72,403.41,407.83
20130424,403.65,403.6,408.59
20130423,400.1,399.78,407.34
20130422,399.9,387.11,401.58
20130419,384.2,382.75,401.32
20130418,392.28,380.25,392.51
20130417,392.98,388.66,395.03
20130416,392.9,391.57,397.6
20130415,392.58,388.12,398.1
20130412,395.6,391.07,395.66
20130411,396.04,391.64,396.15
20130410,391.07,387.61,395.78
20130409,387.36,386.17,391.48
20130408,388.99,383.82,389.39
20130405,392.64,387.81,393.1
20130404,401.72,395.25,402.47
20130403,406.32,399.93,406.69
20130402,401.87,401.6,407.01
20130401,397.11,396.23,400.72
20130328,401.59,396.25,402.28
20130327,402.94,400.26,403.1
20130326,406.34,403.49,406.59
20130325,405.8,403.01,409.21
20130322,406.96,404.42,407.21
20130321,405.24,404.52,408.05
20130320,408.01,405.31,408.35
20130319,405.21,402.82,409.22
20130318,402.1,400.33,405.97
20130315,408.84,406.26,409.74
20130314,413.08,408.29,413.08
20130313,413.54,410.74,414.93
20130312,414.94,411.42,415.53
20130311,415.43,415.33,419.43
20130308,416.83,412.11,417.04
20130307,416.61,414.38,417.89
20130306,420.09,413.99,421.58
20130305,414.05,414.04,419.65
20130304,402.25,402.1,411.01
20130301,398.5,397.68,403.17
20130228,400.15,400.11,403.09
20130227,397,395.16,401.97
20130226,397.1,391.81,397.58
20130225,400.75,394.85,403.8
20130222,399.23,396.5,400.22
20130221,398.6,395.21,402.32
20130220,402.25,395.5,404.08
20130219,397.6,397.24,403.1
20130215,393.31,393.14,396.23
20130214,389.48,388.5,393.98
20130213,389.67,389.6,392.28
20130212,390.48,389.3,393.56
20130211,388.81,386.49,391.11
20130208,389.67,389.39,392.94
20130207,384.47,382.37,389.02
20130206,379.16,378.87,386.09
20130205,380.18,379.35,385.17
20130204,383.46,378.76,384.85
20130201,378.7,378.7,387.9
20130131,374.88,374.75,378.43
20130130,376.49,376.08,380.09
20130129,373,372.9,378.1
20130128,375.5,373.57,377.42
20130125,375.01,374.75,378.86
20130124,370.25,369.88,378.04
20130123,367.63,367.53,374.13
20130122,351.98,347.41,352.32
20130118,354.82,350.31,356.03
20130117,358.5,355.15,359.46
20130116,360.84,356.48,361.81
20130115,359.31,355.69,367.13
20130114,368.13,360.81,370.73
20130111,370.63,367.78,370.84
20130110,371.04,366.38,372.13
20130109,365.77,363.94,368.81
20130108,367.4,361.85,367.78
20130107,367.36,364.92,369.32
20130104,364.31,363.48,370.36
20130103,362.1,360,365.6
20130102,359.35,357.92,363.14
20121231,349.65,347.65,354.93
20121228,350.49,349.65,353.1
20121227,353.22,348.96,354.07
20121226,353.68,350.85,356.08
20121224,356.9,353.38,357.23
20121221,356.63,354.9,359.05
20121220,361.27,358.13,361.96
20121219,359.99,357.98,361.14
20121218,357.94,357.17,364.19
20121217,352.4,351.66,368.77
20121214,349.24,348.87,353.56
20121213,357.6,349.42,357.88
20121212,349.27,346.39,351.4
20121211,344.66,343.52,350.61
20121210,342.35,341.55,345.48
20121207,347.15,340.87,348.09
20121206,343.45,341.91,347.46
20121205,345.73,340.82,346.9
20121204,347.15,342.51,347.41
20121203,350.77,346.71,352.59
20121130,345.31,342.5,349.26
20121129,343.55,340.66,346.6
20121128,333.67,331.61,342.11
20121127,329.75,328.67,337.16
20121126,332.89,329.18,333.17
20121123,334.65,332.72,334.66
20121121,334.16,329.87,334.57
20121120,334.42,331.95,338.66
20121119,327.52,327.44,334.13
20121116,322.67,317.68,326.18
20121115,324.68,321.63,329.67
20121114,330,324.92,330.76
20121113,331.17,328.79,333.47
20121112,331.54,330.1,334.57
20121109,327,324.82,333.84
20121108,334.76,325.29,335.41
20121107,337.16,332.91,338.78
20121106,342.4,338.44,342.91
20121105,341.91,337.44,343.09
20121102,347.05,343.34,347.43
20121101,339.41,339.02,345.1
20121031,339.59,337.16,340.16
20121026,337.91,335.26,341.17
20121025,339.66,336.42,340.66
20121024,343.06,337.3,343.16
20121023,335.67,335.66,343.32
20121022,340.16,334.52,341.97
20121019,352.44,335.66,353
20121018,377.39,337.66,379.33
20121017,371.6,369.76,377.79
20121016,369.69,367.86,373.12
20121015,370.6,364.98,371.54
20121012,375.55,371.68,377.06
20121011,376.07,374.77,378.87
20121010,370.56,368.78,373.39
20121009,379.46,370.89,380.28
20121008,380.12,376.7,381.41
20121005,384.97,382.12,386.8
20121004,380.99,379.32,384.56
20121003,377.48,375.72,381.58
20121002,382.22,374.76,382.61
20121001,379.15,377.73,382.12
20120928,376.7,375.2,379.27
20120927,379.6,375.45,381.04
20120926,374.55,370.13,380.24
20120925,376.15,373.46,382.06
20120924,365.13,364.76,374.64
20120921,365.74,364.69,367.09
20120920,361.87,360.25,365.32
20120919,358.39,357.85,363.92
20120918,353.54,353.04,358.97
20120917,353.7,352.15,356.08
20120914,354.45,353.15,356.14
20120913,346.2,344.92,354.15
20120912,344.36,340.1,347.11
20120911,348.63,345.15,349.97
20120910,354.53,348.85,356.05
20120907,349.65,348.49,355.77
20120906,342.64,342.02,349.6
20120905,339.66,339.23,342.91
20120904,341.93,336.41,342.16
20120831,341.66,339.68,343.95
20120830,341.78,339.75,343.35
20120829,338.35,337.74,344.15
20120828,332.17,332.04,338.47
20120827,331.16,329.29,335.66
20120824,337.46,336.7,339.88
20120823,336.8,335.16,339.9
20120822,333.36,333.02,339.96
20120821,336.22,330.75,338.66
20120820,337.41,335.99,339.1
20120817,336.72,335.51,338.29
20120816,333.42,333.21,336.98
20120815,334.8,331.72,336.79
20120814,329.3,329.17,336.09
20120813,323.39,323.02,329.74
20120810,318.98,317.75,320.8
20120809,321.93,320.44,322.86
20120808,319.21,318.93,322.61
20120807,320.57,317.92,321.81
20120806,319.49,319.29,324.37
20120803,319.68,317.75,321.54
20120802,312.44,311.39,318.7
20120801,318.33,315.37,319.43
20120731,313.82,313.8,317.93
20120730,317.71,314.44,320.98
20120727,309.14,308.44,317.18
20120726,307.19,304.71,308.13
20120725,303.86,302.38,306.38
20120724,307.19,301.87,308.66
20120723,299.94,298.83,308.87
20120720,304.08,298.79,306.16
20120719,292.78,292.71,298.94
20120718,288.2,287.78,291.55
20120717,288.93,283.92,290.04
20120716,287.9,285.6,289.31
20120713,285.79,283.99,289.28
